Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1u","C_0402_1005Metric",101.617500,-50.390000,-90.000000,top
"C2","1u","C_0402_1005Metric",103.500000,-46.980000,-90.000000,top
"C3","10u","C_0603_1608Metric",95.443778,-50.283225,-90.000000,top
"C4","10u","C_0603_1608Metric",95.450000,-46.825000,-90.000000,top
"C5","100nF","C_0603_1608Metric",151.600000,-30.075000,-90.000000,top
"C6","1000uF","CP_Elec_8x10.5",90.000000,-35.000000,-90.000000,top
"C7","100nF","C_0402_1005Metric",107.520000,-53.000000,0.000000,top
"C8","100nF","C_0402_1005Metric",102.980000,-48.500000,0.000000,top
"C9","1u","C_0402_1005Metric",108.920000,-51.680000,0.000000,top
"C10","100n","C_0402_1005Metric",108.880000,-50.520000,0.000000,top
"C11","100n","C_0402_1005Metric",110.500000,-41.000000,0.000000,top
"C12","1u","C_0402_1005Metric",110.500000,-40.000000,0.000000,top
"C13","150n","C_0402_1005Metric",111.900000,-47.800000,-90.000000,top
"C14","100n","C_0402_1005Metric",156.690000,-45.760000,0.000000,top
"C15","100n","C_0402_1005Metric",141.567500,-49.170000,-90.000000,top
"C16","10u","C_0603_1608Metric",58.500000,-43.500000,180.000000,top
"C17","10u","C_0603_1608Metric",58.500000,-45.500000,180.000000,top
"C18","10u","C_0603_1608Metric",116.055000,-47.850000,180.000000,top
"C19","10u","C_0603_1608Metric",116.070000,-46.310000,180.000000,top
"C20","10u","C_0603_1608Metric",116.065000,-44.790000,180.000000,top
"C21","100n","C_0402_1005Metric",121.700000,-77.020000,180.000000,top
"C22","10u","C_0603_1608Metric",122.000000,-75.500000,0.000000,top
"C23","1u","C_0402_1005Metric",98.415000,-39.232500,180.000000,top
"C24","10u","C_0603_1608Metric",98.105000,-33.022500,180.000000,top
"C25","100nF","C_0402_1005Metric",95.565000,-37.072500,90.000000,top
"C26","100nF","C_0603_1608Metric",81.275000,-26.800000,180.000000,top
"C27","0.47uF","C_0603_1608Metric",58.000000,-76.000000,0.000000,top
"C28","0.47uF","C_0603_1608Metric",65.000000,-70.000000,180.000000,top
"C29","100nF","C_0603_1608Metric",65.000000,-68.000000,0.000000,top
"C30","1uF","C_0603_1608Metric",61.500000,-68.000000,180.000000,top
"C31","1uF","C_0603_1608Metric",61.500000,-70.000000,0.000000,top
"C32","10u","C_0603_1608Metric",181.177879,-33.301621,0.000000,top
"C33","4.7uF","C_0603_1608Metric",176.500000,-32.000000,-90.000000,top
"C34","10nF","C_0402_1005Metric",91.270000,-27.100000,180.000000,top
"C35","4.7uF","C_0603_1608Metric",188.775000,-31.600000,0.000000,top
"C36","22µF","C_0603_1608Metric",61.450000,-71.800000,0.000000,top
"C37","100nF","C_0402_1005Metric",159.430000,-34.250000,180.000000,top
"C38","100nF","C_0402_1005Metric",155.900000,-29.700000,180.000000,top
"D1","BAT54J","D_SOD-323F",148.276528,-48.447164,-90.000000,top
"D4","Red","LED_0402_1005Metric",180.083674,-26.932915,90.000000,top
"D5","Yellow","LED_0402_1005Metric",177.726122,-26.936250,90.000000,top
"IC1","BQ24075TRGTR","QFN50P300X300X100-17N-D",180.925000,-30.225000,180.000000,top
"J1","AudioJack3_Switch","Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal",48.700000,-91.230000,180.000000,top
"J2","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",45.000000,-53.440000,0.000000,top
"J3","AudioJack3_Ground","CUI_SJ1-3533",189.650000,-88.950000,180.000000,top
"J4","USB_C_Receptacle_USB2.0","USB_C_Receptacle_HRO_TYPE-C-31-M-12",33.950000,-52.860000,-90.000000,top
"J5","AudioJack3_Switch","Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal",48.681020,-43.307339,180.000000,top
"J6","AudioJack3_Switch","Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal",172.875000,-79.000000,-90.000000,top
"J7","AudioJack3_Switch","Jack_6.35mm_Neutrik_NMJ6HCD2_Horizontal",150.120000,-79.000000,-90.000000,top
"J8","Micro_SD_Card","microSD_HC_Hirose_DM3BT-DSF-PEJS",120.900000,-86.925000,0.000000,top
"J9","Conn_01x03","JST_PH_B3B-PH-K_1x03_P2.00mm_Vertical",78.400000,-30.000000,0.000000,top
"J10","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",35.000000,-70.000000,90.000000,top
"J11","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",63.000000,-90.000000,0.000000,top
"J11.5","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",63.000000,-81.600000,0.000000,top
"J12","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",61.000000,-38.000000,0.000000,top
"J13","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",74.500000,-38.000000,0.000000,top
"J14","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",61.000000,-30.000000,0.000000,top
"J15","Conn_01x05","JST_PH_B5B-PH-K_1x05_P2.00mm_Vertical",185.000000,-62.865836,90.000000,top
"J16","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",188.000000,-28.500000,180.000000,top
"J17","AudioJack3_Ground","CUI_SJ1-3533",189.650000,-75.900000,180.000000,top
"J18","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",66.000000,-53.440000,0.000000,top
"J19","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",81.998914,-53.440000,0.000000,top
"J20","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",102.998419,-53.440000,0.000000,top
"J21","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",119.000726,-53.440000,0.000000,top
"J22","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",140.000000,-53.440000,0.000000,top
"J23","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",156.001958,-53.440000,0.000000,top
"J24","Conn_01x05_Socket","PinSocket_1x05_P2.54mm_Vertical",177.002175,-53.440000,0.000000,top
"J25","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",149.200000,-60.250000,-90.000000,top
"J26","Conn_01x02","JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical",149.200000,-53.250000,-90.000000,top
"MK1","Microphone_Condenser","POM-2244P-C3310-2-R",112.000000,-66.500000,-90.000000,top
"R1","22R","R_0402_1005Metric",107.230000,-39.510000,-90.000000,top
"R2","22R","R_0402_1005Metric",106.140000,-39.510000,-90.000000,top
"R3","22R","R_0402_1005Metric",105.050000,-39.510000,-90.000000,top
"R4","22R","R_0402_1005Metric",103.920000,-39.510000,-90.000000,top
"R5","22R","R_0402_1005Metric",102.870000,-39.510000,-90.000000,top
"R6","220R","R_0603_1608Metric",146.340000,-48.460000,-90.000000,top
"R7","33R","R_0603_1608Metric",178.000000,-68.825000,-90.000000,top
"R8","33R","R_0603_1608Metric",180.700000,-69.650000,90.000000,top
"R9","5.1k","R_0402_1005Metric",40.500000,-62.000000,0.000000,top
"R10","5.1k","R_0402_1005Metric",40.500000,-60.500000,0.000000,top
"R11","2.2k","R_0603_1608Metric",115.500000,-66.825000,-90.000000,top
"R12","10k","R_0402_1005Metric",101.990000,-43.540000,0.000000,top
"R13","10k","R_0402_1005Metric",101.990000,-44.680000,0.000000,top
"R14","49.9k","R_0402_1005Metric",184.300000,-31.860000,-90.000000,top
"R15","1M","R_0402_1005Metric",148.500000,-30.510000,90.000000,top
"R16","10k","R_0402_1005Metric",118.730000,-77.500000,180.000000,top
"R17","10k","R_0402_1005Metric",98.150000,-27.000000,90.000000,top
"R18","200k","R_0402_1005Metric",185.950000,-31.860000,-90.000000,top
"R19","1.5M","R_0402_1005Metric",150.000000,-30.510000,-90.000000,top
"R20","220R","R_0603_1608Metric",138.500000,-29.000000,0.000000,top
"R21","20k","R_0805_2012Metric",61.500000,-66.000000,180.000000,top
"R22","20k","R_0805_2012Metric",58.000000,-74.000000,180.000000,top
"R23","1.1k","R_0402_1005Metric",178.000000,-32.010000,-90.000000,top
"R24","1.13k","R_0402_1005Metric",184.500000,-33.450000,0.000000,top
"R25","1.5k","R_0402_1005Metric",178.990000,-26.921978,90.000000,top
"R26","1.5k","R_0402_1005Metric",176.544200,-26.921978,-90.000000,top
"R27","100k","R_0402_1005Metric",155.250000,-32.700000,0.000000,top
"R28","1k","R_0402_1005Metric",152.800000,-36.150000,0.000000,top
"R29","100k","R_0402_1005Metric",162.400000,-30.950000,180.000000,top
"R30","10k","R_0402_1005Metric",162.400000,-29.650000,180.000000,top
"S1","EG2219","EG2219",184.750000,-47.000000,90.000000,top
"U1","SPX3819M5-L-3-3","SOT-23-5",98.758420,-50.535520,0.000000,top
"U2","SPX3819M5-L-1-8","SOT-23-5",98.770000,-46.950000,0.000000,top
"U3","SGTL5000XNBA3","QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm",108.160000,-44.950000,90.000000,top
"U4","TLP2361V4_E","5pin SO6_TOS",153.718300,-48.590000,0.000000,top
"U5","74LVC2G14","SOT-23-6",138.770000,-48.690000,0.000000,top
"U6","Teensy4.1","Teensy41",144.770000,-34.530000,0.000000,top
"U7","SPX3819M5-L-3-3","SOT-23-5",97.930000,-36.422500,-90.000000,top
"U8","TPS22918DBVR","SOT95P280X145-6N",94.545000,-28.200000,180.000000,top
"U13","PAM8403D","SOIC-16_3.9x9.9mm_P1.27mm",54.555000,-68.475000,90.000000,top
"U14","74LVC1G17","SOT-23-5",159.087500,-30.650000,0.000000,top
"U15","74AHCT1G125","SOT-23-5",156.137500,-35.200000,0.000000,top
